ID,Province_State,Date,Confirmed,Deaths
689,South Carolina,12-05-2020,226013,4496
690,South Dakota,12-05-2020,84398,1064
691,Tennessee,12-05-2020,392608,4876
692,Texas,12-05-2020,1299469,22825
693,Utah,12-05-2020,209170,925
694,Vermont,12-05-2020,4763,77
695,Virginia,12-05-2020,247380,4160
696,Washington,12-05-2020,174290,2925
697,West Virginia,12-05-2020,52172,799
698,Wisconsin,12-05-2020,432207,3842
699,Wyoming,12-05-2020,35677,266
700,Alabama,12-06-2020,267589,3877
701,Alaska,12-06-2020,36271,143
702,Arizona,12-06-2020,358900,6925
703,Arkansas,12-06-2020,169382,2620
704,California,12-06-2020,1337941,19870
705,Colorado,12-06-2020,257347,3357
706,Connecticut,12-06-2020,127715,5146
707,Delaware,12-06-2020,39096,782
708,Florida,12-06-2020,1049638,19084
709,Georgia,12-06-2020,499371,9793
710,Hawaii,12-06-2020,18738,261
711,Idaho,12-06-2020,109705,1032
712,Illinois,12-06-2020,779975,14016
713,Indiana,12-06-2020,375019,6207
714,Iowa,12-06-2020,243385,2682
715,Kansas,12-06-2020,171363,1786
716,Kentucky,12-06-2020,198064,2062
717,Louisiana,12-06-2020,247177,6548
718,Maine,12-06-2020,13127,227
719,Maryland,12-06-2020,212384,4820
720,Massachusetts,12-06-2020,252017,10953
721,Michigan,12-06-2020,426576,10321
722,Minnesota,12-06-2020,345281,3979
723,Mississippi,12-06-2020,163458,3949
724,Missouri,12-06-2020,325588,4276
725,Montana,12-06-2020,67069,734
726,Nebraska,12-06-2020,138568,1194
727,Nevada,12-06-2020,165628,2301
728,New Hampshire,12-06-2020,24232,559
729,New Jersey,12-06-2020,361986,17306
730,New Mexico,12-06-2020,106856,1738
731,New York,12-06-2020,696125,34900
732,North Carolina,12-06-2020,388552,5516
733,North Dakota,12-06-2020,82504,1013
734,Ohio,12-06-2020,467432,6946
735,Oklahoma,12-06-2020,213245,1874
736,Oregon,12-06-2020,83243,1027
737,Pennsylvania,12-06-2020,415635,11191
738,Rhode Island,12-06-2020,62137,1413
739,South Carolina,12-06-2020,229235,4517
740,South Dakota,12-06-2020,85304,1091
741,Tennessee,12-06-2020,397522,4905
742,Texas,12-06-2020,1311643,23055
743,Utah,12-06-2020,212844,939
744,Vermont,12-06-2020,4894,79
745,Virginia,12-06-2020,251173,4197
746,Washington,12-06-2020,175793,2925
747,West Virginia,12-06-2020,53572,829
748,Wisconsin,12-06-2020,437918,3934
749,Wyoming,12-06-2020,35866,266
